,Movie_name,Popularity,rating,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
41,Clerks (1994),0.252144082332761,3.80405405405405,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Disclosure (1994),0.0668953687821612,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
43,Dolores Claiborne (1994),0.133790737564322,3.34177215189873,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44,Eat Drink Man Woman (1994),0.135506003430531,4.05,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
45,Exotica (1994),0.0445969125214408,3.55555555555555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,Ed Wood (1994),0.226415094339622,3.60150375939849,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
47,Hoop Dreams (1994),0.198970840480274,4.09401709401709,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,I.Q. (1994),0.137221269296741,3.32098765432098,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
49,Star Wars (1977),1,4.35958904109589,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
50,Legends of the Fall (1994),0.137221269296741,3.45679012345679,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
51,"Madness of King George, The (1994)",0.154373927958833,3.76923076923076,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,Natural Born Killers (1994),0.217838765008576,2.953125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,Outbreak (1995),0.176672384219554,3.24038461538461,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
54,"Professional, The (1994)",0.25385934819897,3.70469798657718,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
55,Pulp Fiction (1994),0.67409948542024,4.06091370558375,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
56,Priest (1994),0.0668953687821612,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,Quiz Show (1994),0.298456260720411,3.64571428571428,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,Three Colors: Red (1994),0.140651801029159,4.06024096385542,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,Three Colors: Blue (1993),0.108061749571183,4.015625,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,Three Colors: White (1994),0.0994854202401372,3.86440677966101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,Stargate (1994),0.216123499142367,3.14173228346456,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,"Santa Clause, The (1994)",0.13893653516295,3.09756097560975,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"Shawshank Redemption, The (1994)",0.483704974271012,4.44522968197879,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,What's Eating Gilbert Grape (1993),0.195540308747855,3.5391304347826,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
65,While You Were Sleeping (1995),0.276157804459691,3.54938271604938,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
66,Ace Ventura: Pet Detective (1994),0.174957118353344,3.04854368932038,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"Crow, The (1994)",0.228130360205831,3.41791044776119,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
68,Forrest Gump (1994),0.548885077186964,3.85358255451713,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
69,Four Weddings and a Funeral (1994),0.428816466552315,3.6613545816733,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
70,"Lion King, The (1994)",0.375643224699828,3.78181818181818,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,"Mask, The (1994)",0.219554030874785,3.1937984496124,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
72,Maverick (1994),0.217838765008576,3.46875,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
73,Faster Pussycat! Kill! Kill! (1965),0.0102915951972555,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
74,Brother Minister: The Assassination of Malcolm X (1994),0.00686106346483705,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,Carlito's Way (1993),0.0909090909090909,3.4074074074074,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
76,"Firm, The (1993)",0.257289879931389,3.27814569536423,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
77,Free Willy (1993),0.0548885077186964,2.45454545454545,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,"Fugitive, The (1993)",0.574614065180102,4.04464285714285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,Hot Shots! Part Deux (1993),0.11492281303602,2.76470588235294,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
80,"Hudsucker Proxy, The (1994)",0.186963979416809,3.55454545454545,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
81,Jurassic Park (1993),0.445969125214408,3.72030651340996,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82,Much Ado About Nothing (1993),0.30017152658662,4.0625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
83,Robert A. Heinlein's The Puppet Masters (1994),0.0291595197255574,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
84,"Ref, The (1994)",0.0977701543739279,3.03448275862068,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Remains of the Day, The (1993)",0.25557461406518,3.94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,Searching for Bobby Fischer (1993),0.234991423670668,3.90579710144927,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,Sleepless in Seattle (1993),0.363636363636363,3.53990610328638,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
88,Blade Runner (1982),0.469982847341337,4.13818181818181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
89,So I Married an Axe Murderer (1993),0.16123499142367,3.05263157894736,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
90,"Nightmare Before Christmas, The (1993)",0.243567753001715,3.58741258741258,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
91,True Romance (1993),0.176672384219554,3.61538461538461,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
92,Welcome to the Dollhouse (1995),0.190394511149228,3.72321428571428,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
93,Home Alone (1990),0.233276157804459,3.08759124087591,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Aladdin (1992),0.373927958833619,3.81278538812785,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
95,Terminator 2: Judgment Day (1991),0.504288164665523,4.00677966101694,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
96,Dances with Wolves (1990),0.437392795883361,3.79296875,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
97,"Silence of the Lambs, The (1991)",0.667238421955403,4.28974358974359,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
98,Snow White and the Seven Dwarfs (1937),0.293310463121783,3.70930232558139,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,Fargo (1996),0.869639794168096,4.15551181102362,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
100,Heavy Metal (1981),0.123499142367066,3.26027397260274,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
101,"Aristocats, The (1970)",0.0909090909090909,3.12962962962962,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,All Dogs Go to Heaven 2 (1996),0.0240137221269296,1.86666666666666,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
103,Theodore Rex (1995),0.00686106346483705,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Sgt. Bilko (1996),0.125214408233276,2.56756756756756,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Diabolique (1996),0.120068610634648,2.88732394366197,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
106,Moll Flanders (1996),0.0703259005145797,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,Kids in the Hall: Brain Candy (1996),0.109777015437392,3.07692307692307,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Mystery Science Theater 3000: The Movie (1996),0.221269296740994,3.43076923076923,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
109,Operation Dumbo Drop (1995),0.0514579759862778,2.51612903225806,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
110,"Truth About Cats & Dogs, The (1996)",0.46483704974271,3.48529411764705,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
111,Flipper (1996),0.0325900514579759,2.45,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",0.0137221269296741,4.11111111111111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,Wallace & Gromit: The Best of Aardman Animation (1996),0.113207547169811,4.44776119402985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,"Haunted World of Edward D. Wood Jr., The (1995)",0.0240137221269296,3.73333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,Cold Comfort Farm (1995),0.212692967409948,3.824,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"Rock, The (1996)",0.646655231560891,3.69312169312169,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,Twister (1996),0.500857632933104,3.21501706484641,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,Maya Lin: A Strong Clear Vision (1994),0.00514579759862778,4.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,Striptease (1996),0.113207547169811,2.23880597014925,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
120,Independence Day (ID4) (1996),0.734133790737564,3.43822843822843,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
121,"Cable Guy, The (1996)",0.180102915951972,2.33962264150943,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"Frighteners, The (1996)",0.195540308747855,3.23478260869565,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
123,Lone Star (1996),0.319039451114922,4.05347593582887,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
124,Phenomenon (1996),0.41680960548885,3.55737704918032,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
125,"Spitfire Grill, The (1996)",0.164665523156089,3.8041237113402,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,"Godfather, The (1972)",0.706689536878216,4.28329297820823,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
127,Supercop (1992),0.109777015437392,3.53846153846153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
128,Bound (1996),0.219554030874785,3.82170542635658,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
129,Kansas City (1996),0.0377358490566037,2.26086956521739,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,Breakfast at Tiffany's (1961),0.16123499142367,3.72631578947368,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
131,"Wizard of Oz, The (1939)",0.420240137221269,4.07723577235772,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
132,Gone with the Wind (1939),0.293310463121783,3.85465116279069,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
133,Citizen Kane (1941),0.337907375643224,4.29292929292929,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,2001: A Space Odyssey (1968),0.442538593481989,3.96911196911196,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
135,Mr. Smith Goes to Washington (1939),0.178387650085763,4.12380952380952,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,Big Night (1996),0.291595197255574,3.90058479532163,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
137,D3: The Mighty Ducks (1996),0.0308747855917667,2.57894736842105,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138,"Love Bug, The (1969)",0.0840480274442538,2.78,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Homeward Bound: The Incredible Journey (1993),0.102915951972555,3.21311475409836,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,"20,000 Leagues Under the Sea (1954)",0.121783876500857,3.5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
141,Bedknobs and Broomsticks (1971),0.0960548885077186,3.07017543859649,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
142,"Sound of Music, The (1965)",0.379073756432247,3.76576576576576,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143,Die Hard (1988),0.415094339622641,3.87242798353909,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
144,"Lawnmower Man, The (1992)",0.109777015437392,2.44615384615384,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
145,Unhook the Stars (1996),0.0154373927958833,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
146,"Long Kiss Goodnight, The (1996)",0.315608919382504,3.47027027027027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
147,"Ghost and the Darkness, The (1996)",0.217838765008576,3.203125,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Jude (1996),0.0377358490566037,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
149,Swingers (1996),0.267581475128644,3.828025477707,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
150,Willy Wonka and the Chocolate Factory (1971),0.55746140651801,3.63190184049079,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Sleeper (1973),0.13893653516295,3.63414634146341,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
152,"Fish Called Wanda, A (1988)",0.421955403087478,3.78542510121457,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Monty Python's Life of Brian (1979),0.296740994854202,3.7471264367816,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Dirty Dancing (1987),0.166380789022298,3.10204081632653,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
155,Reservoir Dogs (1992),0.252144082332761,3.98648648648648,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
156,Platoon (1986),0.216123499142367,3.69291338582677,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
157,Weekend at Bernie's (1989),0.101200686106346,2.61666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Basic Instinct (1992),0.171526586620926,3.22772277227722,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
159,Glengarry Glen Ross (1992),0.116638078902229,3.46376811594202,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,Top Gun (1986),0.375643224699828,3.48181818181818,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
161,On Golden Pond (1981),0.180102915951972,3.5566037735849,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
162,"Return of the Pink Panther, The (1974)",0.156089193825042,3.55434782608695,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163,"Abyss, The (1989)",0.257289879931389,3.58940397350993,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
164,Jean de Florette (1986),0.108061749571183,4.109375,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
165,Manon of the Spring (Manon des sources) (1986),0.0977701543739279,4.12068965517241,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
166,Private Benjamin (1980),0.113207547169811,2.95522388059701,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Monty Python and the Holy Grail (1974),0.540308747855917,4.06645569620253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,"Wrong Trousers, The (1993)",0.200686106346483,4.46610169491525,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Cinema Paradiso (1988),0.205831903945111,4.17355371900826,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
170,Delicatessen (1991),0.109777015437392,3.87692307692307,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
171,"Empire Strikes Back, The (1980)",0.629502572898799,4.20652173913043,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
172,"Princess Bride, The (1987)",0.554030874785591,4.17283950617283,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
173,Raiders of the Lost Ark (1981),0.71869639794168,4.25238095238095,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Brazil (1985),0.355060034305317,3.81730769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
175,Aliens (1986),0.485420240137221,3.94718309859154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
176,"Good, The Bad and The Ugly, The (1966)",0.233276157804459,3.86131386861313,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,12 Angry Men (1957),0.212692967409948,4.344,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
178,"Clockwork Orange, A (1971)",0.377358490566037,3.90950226244343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
179,Apocalypse Now (1979),0.377358490566037,4.04524886877828,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
180,Return of the Jedi (1983),0.867924528301886,4.00788954635108,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
181,GoodFellas (1990),0.385934819897084,3.95132743362831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
182,Alien (1979),0.497427101200686,4.03436426116838,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
183,Army of Darkness (1993),0.197255574614065,3.43103448275862,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
184,Psycho (1960),0.408233276157804,4.10041841004184,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
185,"Blues Brothers, The (1980)",0.428816466552315,3.83665338645418,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
186,"Godfather: Part II, The (1974)",0.356775300171526,4.18660287081339,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
187,Full Metal Jacket (1987),0.289879931389365,3.68235294117647,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
188,"Grand Day Out, A (1992)",0.111492281303602,4.1060606060606,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Henry V (1989),0.210977701543739,4.13709677419354,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
190,Amadeus (1984),0.471698113207547,4.16304347826086,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
191,Raging Bull (1980),0.197255574614065,4.12068965517241,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
192,"Right Stuff, The (1983)",0.267581475128644,3.91719745222929,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,"Sting, The (1973)",0.411663807890223,4.05809128630705,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
194,"Terminator, The (1984)",0.514579759862778,3.93355481727574,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
195,Dead Poets Society (1989),0.428816466552315,3.91633466135458,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
196,"Graduate, The (1967)",0.408233276157804,4.10460251046025,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
197,Nikita (La Femme Nikita) (1990),0.216123499142367,4.00787401574803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
198,"Bridge on the River Kwai, The (1957)",0.281303602058319,4.17575757575757,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
199,"Shining, The (1980)",0.351629502572898,3.8252427184466,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
200,Evil Dead II (1987),0.150943396226415,3.51685393258426,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
